,dstid,Centroid Lat,Centroid Lon
0,1,-98.95413,19.25449
1,2,-98.95413,19.25449
2,3,-98.95413,19.25449
3,4,-98.95413,19.25449
4,5,-98.95413,19.25449
5,6,-98.95413,19.25449
6,7,-98.95413,19.25449
7,8,-98.95413,19.25449
8,9,-98.95413,19.25449
9,10,-98.95413,19.25449
10,11,-98.95413,19.25449
11,12,-98.95413,19.25449
12,13,-98.95413,19.25449
13,14,-98.95413,19.25449
14,15,-98.95413,19.25449
15,16,-98.95413,19.25449
16,17,-98.95413,19.25449
17,18,-98.95413,19.25449
18,19,-98.95413,19.25449
19,20,-98.95413,19.25449
20,21,-98.95413,19.25449
21,22,-98.95413,19.25449
22,23,-98.95413,19.25449
23,24,-98.95413,19.25449
24,25,-98.95413,19.25449
25,26,-98.95413,19.25449
26,27,-98.95413,19.25449
27,28,-98.95413,19.25449
28,29,-98.95413,19.25449
29,30,-98.95413,19.25449
30,31,-98.95413,19.25449
31,32,-98.95413,19.25449
32,33,-98.95413,19.25449
33,34,-98.95413,19.25449
34,35,-98.95413,19.25449
35,36,-98.95413,19.25449
36,37,-98.95413,19.25449
37,38,-98.95413,19.25449
38,39,-98.95413,19.25449
39,40,-98.95413,19.25449
40,41,-98.95413,19.25449
41,42,-98.95413,19.25449
42,43,-98.95413,19.25449
43,44,-98.95413,19.25449
44,45,-98.95413,19.25449
45,46,-98.95413,19.25449
46,47,-98.95413,19.25449
47,48,-98.95413,19.25449
48,49,-98.95413,19.25449
49,50,-98.95413,19.25449
50,51,-98.95413,19.25449
51,52,-98.95413,19.25449
52,53,-98.95413,19.25449
53,54,-98.95413,19.25449
54,55,-98.95413,19.25449
55,56,-98.95413,19.25449
56,57,-98.95413,19.25449
57,58,-98.95413,19.25449
58,59,-98.95413,19.25449
59,60,-98.95413,19.25449
60,61,-98.95413,19.25449
61,62,-98.95413,19.25449
62,63,-98.95413,19.25449
63,64,-98.95413,19.25449
64,65,-98.95413,19.25449
65,66,-98.95413,19.25449
66,67,-98.95413,19.25449
67,68,-98.95413,19.25449
68,69,-98.95413,19.25449
69,70,-98.95413,19.25449
70,71,-98.95413,19.25449
71,72,-98.95413,19.25449
72,73,-98.95413,19.25449
73,74,-98.95413,19.25449
74,75,-98.95413,19.25449
75,76,-98.95413,19.25449
76,77,-98.95413,19.25449
77,78,-98.95413,19.25449
78,79,-98.95413,19.25449
79,80,-98.95413,19.25449
80,81,-98.95413,19.25449
81,82,-98.95413,19.25449
82,83,-98.95413,19.25449
83,84,-98.95413,19.25449
84,85,-98.95413,19.25449
85,86,-98.95413,19.25449
86,87,-98.95413,19.25449
87,88,-98.95413,19.25449
88,89,-98.95413,19.25449
89,90,-98.95413,19.25449
90,91,-98.95413,19.25449
91,92,-98.95413,19.25449
92,93,-98.95413,19.25449
93,94,-98.95413,19.25449
94,95,-98.95413,19.25449
95,96,-98.95413,19.25449
96,97,-98.95413,19.25449
97,98,-98.95413,19.25449
98,99,-98.95413,19.25449
99,100,-98.95413,19.25449
100,101,-98.95413,19.25449
101,102,-98.95413,19.25449
102,103,-98.95413,19.25449
103,104,-98.95413,19.25449
104,105,-98.95413,19.25449
105,106,-98.95413,19.25449
106,107,-98.95413,19.25449
107,108,-98.95413,19.25449
